radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,255,3,29100,1491,0,31.956915,51.81244,11935,31,1,1332407984,1334204045,0
GSM,255,3,29100,491,0,31.944393,51.813882,3904,23,1,1332407984,1334203445,0
GSM,255,3,29100,833,0,31.937942504883,51.830062866211,1000,1,1,1332387755,1332387755,0
GSM,255,3,29100,1493,0,31.967216,51.8044,7746,13,1,1332407984,1334204045,0
GSM,255,3,29100,8491,0,31.946608,51.81443,5381,13,1,1332408942,1334203745,0
GSM,255,3,29100,2502,0,31.940691,51.819763,1635,4,1,1332409831,1334203145,0
GSM,255,3,29100,492,0,31.951109,51.809694,5108,24,1,1332409831,1334203743,0
GSM,255,3,29100,8492,0,31.951955,51.808504,4988,20,1,1332411594,1334203745,0
GSM,255,3,29100,831,0,31.989805,51.802267,6192,4,1,1332413341,1334203745,0
GSM,255,3,29100,1492,0,32.051339,51.7828,6005,7,1,1332414881,1334204343,0
GSM,255,3,29100,4511,0,32.179748,51.723319,9918,4,1,1332402986,1332402986,0
GSM,255,1,18230,4613,0,32.235495,51.76632,15225,152,1,1332422540,1358406800,0
GSM,255,1,18230,24613,0,32.247619,51.765842,12461,68,1,1332422540,1358406500,0
GSM,255,1,18230,4612,0,32.241899,51.758645,28509,129,1,1332422540,1358486403,0
GSM,255,3,29100,2501,0,32.121963500977,51.779251098633,1000,1,1,1332395365,1332395365,0
GSM,255,1,18230,26463,0,32.248562,51.764407,14527,132,1,1332423053,1358406500,0
GSM,255,1,18230,4611,0,32.259484,51.768147,13668,89,1,1332423053,1358406500,0
GSM,255,1,18230,24612,0,32.246481,51.763477,7721,113,1,1332423053,1358406800,0
GSM,255,1,18230,2165,0,32.249017,51.766536,9091,50,1,1332423053,1358406200,0
GSM,255,3,29100,861,0,32.361876,51.56219,16341,10,1,1332423402,1334210962,0
GSM,255,3,29100,501,0,32.243324,51.549916,12730,16,1,1332423404,1334210964,0
GSM,255,3,29100,502,0,32.271162,51.52444,16092,14,1,1332424569,1332473880,0
GSM,255,3,29100,1501,0,32.228456,51.524444,2618,11,1,1332424854,1332472981,0
GSM,255,3,29100,1502,0,32.236045,51.524413,8164,14,1,1332424854,1332473281,0
GSM,255,3,29100,503,0,32.226792,51.52382,2728,12,1,1332425170,1332472981,0
GSM,255,3,29100,863,0,32.287446,51.52362,10690,6,1,1332425730,1332473581,0
GSM,255,3,29100,891,0,32.290056,51.52413,10510,5,1,1332425730,1332473581,0
GSM,255,3,29100,822,0,32.472838,51.52451,2150,2,1,1332473881,1332473881,0
GSM,255,3,29100,553,0,32.4868,51.524739,3114,3,1,1332474181,1332474181,0
GSM,255,3,29000,1661,0,32.426633,51.258963,29478,52,1,1332493783,1350027848,0
GSM,255,3,29100,9553,0,32.509231,51.519699,1680,4,1,1332477602,1332477602,0
GSM,255,3,29100,9551,0,32.508316,51.51741,1427,3,1,1332477602,1332477602,0
GSM,255,3,29100,1552,0,32.514535,51.499689,4915,7,1,1332478229,1332478229,0
GSM,255,3,29100,9552,0,32.511983,51.506882,5335,6,1,1332478201,1332478201,0
GSM,255,3,29100,552,0,32.513631,51.502945,4883,5,1,1332478202,1332478202,0
GSM,255,3,29100,1551,0,32.513357,51.497384,4296,4,1,1332478202,1332478202,0
GSM,255,3,29100,1553,0,32.505113,51.513519,1033,2,1,1332477602,1332477602,0
GSM,255,3,29100,1891,0,32.521596,51.481247,2414,2,1,1332478202,1332478202,0
GSM,255,3,18240,44441,0,32.522964477539,51.448287963867,1000,1,1,1332478300,1332478300,0
GSM,255,1,18240,42083,0,32.530503,51.385685,17054,49,1,1332498813,1355462425,0
GSM,255,1,18240,44441,0,32.5384,51.374138,16995,52,1,1332498816,1355462725,0
GSM,255,3,29000,8793,0,32.569785,51.315204,4933,11,1,1332498889,1344573041,0
GSM,255,3,29000,793,0,32.569659,51.308587,4204,11,1,1332499217,1344573041,0
GSM,255,1,18240,26672,0,32.508836,51.472941,25377,55,1,1332499246,1358482755,0
GSM,255,3,29100,1892,0,32.568971,51.332245,1367,2,1,1332479402,1332479402,0
GSM,255,3,29000,792,0,32.479917,51.258244,9665,15,1,1332499663,1344586381,0
GSM,255,3,29000,8792,0,32.523645,51.26542,6185,6,1,1332499814,1344573641,0
GSM,255,3,29000,791,0,32.558321,51.2756,3608,4,1,1332500160,1344573341,0
GSM,255,3,29000,603,0,32.435586,51.252352,12372,47,1,1332500160,1350027248,0
GSM,255,3,29000,601,0,32.425073,51.246962,14060,41,1,1332500160,1350027548,0
GSM,255,3,29000,8601,0,32.422423,51.237034,13500,25,1,1332500160,1350027848,0
